seq,recv_ts_ns,send_ts_ns
1,100282600703791,100282600568875
2,100282600822750,100282600771791
3,100282601011458,100282600977041
4,100282601227125,100282601184250
5,100282601424458,100282601396291
6,100282601668791,100282601627208
7,100282601861541,100282601832041
8,100282602067791,100282602037875
9,100282602269250,100282602239458
10,100282602475333,100282602442375
11,100282602679250,100282602645750
12,100282602877583,100282602849625
13,100282603080916,100282603051916
14,100282603285291,100282603258958
15,100282603497458,100282603469625
16,100282603695916,100282603672333
17,100282603903958,100282603874916
18,100282604116916,100282604088416
19,100282604328541,100282604301666
20,100282604536125,100282604509208
21,100282604743166,100282604718958
22,100282604951625,100282604923708
23,100282605157291,100282605132791
24,100282605370250,100282605342916
25,100282605573583,100282605544333
26,100282605777833,100282605750333
27,100282605989708,100282605962625
28,100282606190250,100282606163458
29,100282606408333,100282606379208
30,100282606606291,100282606579458
31,100282606821916,100282606793166
32,100282607034791,100282607006916
33,100282607237416,100282607213666
34,100282607444000,100282607416291
35,100282607659041,100282607619291
36,100282607845625,100282607820291
37,100282608062166,100282608034958
38,100282608268000,100282608240333
39,100282608470416,100282608441916
40,100282608675125,100282608647416
41,100282608876666,100282608849625
42,100282609083750,100282609055083
43,100282609294833,100282609267791
44,100282609507250,100282609479083
45,100282609714625,100282609692375
46,100282609934708,100282609905166
47,100282610145666,100282610114250
48,100282610351583,100282610323250
49,100282610561166,100282610524916
50,100282610767208,100282610734500
51,100282610963041,100282610936291
52,100282611168583,100282611141041
53,100282611390583,100282611351750
54,100282611588833,100282611554583
55,100282611814083,100282611767541
56,100282612018916,100282611983333
57,100282612214375,100282612187166
58,100282612453000,100282612400083
59,100282612682541,100282612619958
60,100282612856250,100282612824291
61,100282613060541,100282613029958
62,100282613283083,100282613238208
63,100282613482875,100282613448958
64,100282613692333,100282613666250
65,100282613896041,100282613866916
66,100282614107875,100282614081583
67,100282614311625,100282614284708
68,100282614511833,100282614485458
69,100282614725041,100282614700291
70,100282614935625,100282614912250
71,100282615159041,100282615128875
72,100282615362625,100282615336291
73,100282615567083,100282615543125
74,100282615787458,100282615759375
75,100282615986791,100282615962916
76,100282616189125,100282616163083
77,100282616406375,100282616378958
78,100282616615125,100282616589583
79,100282616822625,100282616797625
80,100282617039333,100282617012791
81,100282617249166,100282617224291
82,100282617460000,100282617436250
83,100282617672208,100282617648208
84,100282617887083,100282617861625
85,100282618102750,100282618078333
86,100282618323541,100282618286416
87,100282618560750,100282618505833
88,100282618761708,100282618714458
89,100282618952166,100282618924875
90,100282619166791,100282619138166
91,100282619386375,100282619353625
92,100282619580375,100282619556333
93,100282619783250,100282619757000
94,100282619983208,100282619960250
95,100282620195708,100282620172208
96,100282620415333,100282620383583
97,100282620612750,100282620589583
98,100282620832000,100282620801625
99,100282621042791,100282621006791
100,100282621248750,100282621210458
101,100282621443916,100282621417583
102,100282621642458,100282621617833
103,100282621855500,100282621830416
104,100282622065083,100282622040708
105,100282622265375,100282622241708
106,100282622480500,100282622455500
107,100282622680625,100282622657083
108,100282622894791,100282622870958
109,100282623111041,100282623082541
110,100282623321083,100282623297583
111,100282623539750,100282623510875
112,100282623747041,100282623723333
113,100282623960458,100282623933375
114,100282624166000,100282624142291
115,100282624380041,100282624356291
116,100282624600500,100282624571708
117,100282624800083,100282624774791
118,100282625005958,100282624980458
119,100282625213333,100282625185666
120,100282625425875,100282625400416
121,100282625639708,100282625616250
122,100282625846750,100282625821791
123,100282626056916,100282626033708
124,100282626266583,100282626242958
125,100282626481166,100282626457583
126,100282626698625,100282626673583
127,100282626913000,100282626887041
128,100282627128958,100282627100875
129,100282627341875,100282627312500
130,100282627554041,100282627528250
131,100282627769166,100282627741041
132,100282627989166,100282627956625
133,100282628203458,100282628171708
134,100282628438458,100282628379833
135,100282628630791,100282628587750
136,100282628826750,100282628798958
137,100282629035041,100282629007708
138,100282629238875,100282629213666
139,100282629452250,100282629426500
140,100282629664083,100282629639958
141,100282629876750,100282629853791
142,100282630075875,100282630055291
143,100282630290750,100282630261166
144,100282630488125,100282630462291
145,100282630695083,100282630669750
146,100282630892500,100282630869875
147,100282631094375,100282631070125
148,100282631298041,100282631272333
149,100282631499375,100282631472625
150,100282631714375,100282631688250
151,100282631929833,100282631902000
152,100282632131458,100282632106125
153,100282632343250,100282632317583
154,100282632550458,100282632525625
155,100282632766708,100282632741833
156,100282632966041,100282632942958
157,100282633181958,100282633156291
158,100282633397125,100282633372250
159,100282633609125,100282633585583
160,100282633823666,100282633800291
161,100282634040041,100282634016250
162,100282634249625,100282634227166
163,100282634465041,100282634441583
164,100282634682375,100282634656291
165,100282634958291,100282634860958
166,100282635090083,100282635061708
167,100282635307291,100282635272750
168,100282635502208,100282635479166
169,100282635725333,100282635684833
170,100282635919000,100282635895791
171,100282636130208,100282636105958
172,100282636344875,100282636321666
173,100282636570250,100282636536208
174,100282636780541,100282636736958
