seq,send_ts_ns,ack_recv_ts_ns,retransmits
1,100118466195666,100118466495208,0
2,100118466398708,100118466560583,0
3,100118466604083,100118466831416,0
4,100118466805833,100118466995875,0
5,100118467012833,100118467145000,0
6,100118467220708,100118467292041,0
7,100118467423208,100118467562291,0
8,100118467633125,100118467713250,0
9,100118467840125,100118467985125,0
10,100118468040250,100118468244666,0
11,100118468254541,100118468382375,0
12,100118468466333,100118468669916,0
13,100118468683166,100118468826166,0
14,100118468894041,100118468973208,0
15,100118469103000,100118469256500,0
16,100118469314208,100118469401375,0
17,100118469523750,100118469668000,0
18,100118469736750,100118469950416,0
19,100118469950208,100118470082000,0
20,100118470151125,100118470489791,0
21,100118470357541,100118470503833,0
22,100118470567166,100118470659208,0
23,100118470775083,100118470933666,0
24,100118470980875,100118471079875,0
25,100118471194625,100118471346583,0
26,100118471395500,100118471489250,0
27,100118471605791,100118471767958,0
28,100118471810083,100118471909958,0
29,100118472013458,100118472197083,0
30,100118472214291,100118472346291,0
31,100118472428416,100118472633125,0
32,100118472640708,100118472987000,0
33,100118472858375,100118473028750,0
34,100118473066708,100118473183458,0
35,100118473270625,100118473483208,0
36,100118473486916,100118473647166,0
37,100118473688416,100118473791458,0
38,100118473894208,100118474088083,0
39,100118474113333,100118474387000,0
40,100118474326291,100118474407166,0
41,100118474533041,100118474706708,0
42,100118474772416,100118474992666,0
43,100118474977875,100118475219250,0
44,100118475203541,100118475390916,0
45,100118475418916,100118475517041,0
46,100118475619166,100118475794958,0
47,100118475848875,100118475954791,0
48,100118476058375,100118476235208,0
49,100118476268041,100118476370333,0
50,100118476468625,100118476653666,0
51,100118476683750,100118476799208,0
52,100118476896541,100118477072791,0
53,100118477109458,100118477216750,0
54,100118477314916,100118477524208,0
55,100118477522333,100118477686666,0
56,100118477727083,100118477834708,0
57,100118477937958,100118478123291,0
58,100118478142291,100118478248958,0
59,100118478348583,100118478529583,0
60,100118478579625,100118478806208,0
61,100118478800166,100118478967541,0
62,100118479000958,100118479119416,0
63,100118479202500,100118479269833,0
64,100118479406208,100118479525625,0
65,100118479607875,100118479789583,0
66,100118479814833,100118479932625,0
67,100118480018625,100118480090166,0
68,100118480230625,100118480415791,0
69,100118480464500,100118480719208,0
70,100118480672958,100118480862250,0
71,100118480886416,100118481008875,0
72,100118481088916,100118481270916,0
73,100118481308166,100118481390333,0
74,100118481517583,100118481653833,0
75,100118481729625,100118481795333,0
76,100118481940291,100118482045375,0
77,100118482144291,100118482203625,0
78,100118482352250,100118482460625,0
79,100118482568250,100118482742375,0
80,100118482783458,100118482861791,0
81,100118482989625,100118483109875,0
82,100118483197625,100118483347833,0
83,100118483406916,100118483484166,0
84,100118483607000,100118483757750,0
85,100118483811500,100118483920750,0
86,100118484024291,100118484214916,0
